Qualification Ref,Qualification Level,From which date,To which date,Qualification Name,Awarding Organisation Title,Qualification Number,Notes/Additional Requirements,
EYQ-221,2,Sep-19,,Level 2 Children and Young People's Workforce (CYPW) Intermediate Apprenticeship Framework (early years pathway),Various Awarding Organisations,Not required,From 1 September 2019 the level 2 CYPW Intermediate Apprenticeship Framework (early years pathway) will include the new DfE approved EYP qualifications listed on this spreadsheet. The framework will continue to be full and relevant for the level 2 ratios.,
EYQ-222,3,Sep-14,,BIIAB Level 3 Diploma in Children's Learning and Development (Early Years Educator),BIIAB,601/7786/X,Qualification certificate may also show (QCF) or (VRQ) in titling,
EYQ-223,3,Sep-14,,NCFE CACHE Level 3 Diploma in Early Years Education and Care (Early Years Educator),NCFE,601/2147/6,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling. 
Where the qualification certificate shows: NCFE CACHE Level 3 Diploma in Early Years Education and Care (Knowledge only pathway) - the holder cannot count in the ratios",
EYQ-224,3,Sep-14,Aug-24,NCFE CACHE Level 3 Diploma for the Early Years Workforce ((Early Years Educator),NCFE,601/2629/2,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling. 
Where the qualification certificate shows: NCFE CACHE Level 3 Diploma in Early Years Education and Care (Knowledge only pathway) - the holder cannot count in the ratios",
EYQ-225,3,Sep-14,,NCFE CACHE Level 3 Diploma in Childcare and Education (Early Years Educator),NCFE,601/4000/8,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling. 
Where the qualification certificate shows: NCFE CACHE Level 3 Diploma in Early Years Education and Care (Knowledge only pathway) - the holder cannot count in the ratios.",
EYQ-226,3,Sep-14,Aug-24,NCFE CACHE Level 3 Diploma in Montessori Pedagogy Birth to Seven (Early Years Educator),NCFE,601/4573/0,Qualification certificate may previously state CACHE,
EYQ-227,3,Sep-14,,NCFE CACHE Level 3 Diploma in Holistic Baby and Child Care (Early Years Educator),NCFE,601/5636/3,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling.",
EYQ-228,3,Sep-14,,City & Guilds Level 3 Diploma For the Early Years Practitioner (Early Years Educator),City & Guilds,601/3118/4,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-229,3,Sep-14,,City & Guilds Level 3 Advanced Technical Diploma for the Early Years Practitioner (Early Years Educator) (540),City & Guilds,601/3117/2,None,
EYQ-230,3,Sep-14,,City & Guilds Level 3 Advanced Technical Extended Diploma for the Early Years Practitioner (Early Years Educator) (1080),City & Guilds,601/7440/7,None,
EYQ-231,3,Sep-14,,Level 3 Diploma in Holistic Baby and Child Care (Early Years Educator),Crossfields Institute,603/7739/2,None,
EYQ-232,3,Sep-14,,FAQ Level 3 Diploma in Early Years Education and Childcare (Early Years Educator),FutureQuals,601/3816/6,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-233,3,Sep-14,,Focus Awards Level 3 Diploma for the Children's Workforce (Early Years Educator) (RQF),Focus Awards Limited,601/8715/3,None,
EYQ-234,3,Sep-14,,ICQ Level 3 Diploma in Children's Learning and Development (Early Years Educator) (RQF),iCan Qualifications (iCQ),601/7898/X,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-235,3,Sep-14,,ICQ Level 3 Diploma for the Early Years Educator,iCan Qualifications (iCQ),603/5943/2,None,
EYQ-236,3,Sep-14,,IAO Level 3 Diploma In Early Learning and Childcare (Early Years Educator),Innovate Awarding,601/3890/7,"Qualification certificate may also show (QCF) or (VRQ) in titling.
Qualification certificate may state Lifetime Awarding.",
EYQ-237,3,Sep-14,,NCFE Diploma for the Children's Workforce (Early Years Educator),NCFE,601/5436/6,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-238,3,Sep-14,,NCFE CACHE Technical Level 3 Diploma in Early Years Education and Care (Early Years Educator),NCFE,601/8438/3,"Qualification certificate may previously state CACHE.
Where the qualification certificate shows: NCFE CACHE  Technical Level 3 Diploma in Early Years Education and Care (Knowledge only pathway) - the holder cannot count in the ratios.",
EYQ-239,3,Sep-14,,NCFE CACHE Technical Level 3 Diploma in Childcare and Education (Early Years Educator),NCFE,601/8437/1,"Qualification certificate may previously state CACHE.
Where the qualification certificate shows: NCFE CACHE Technical Level 3 Diploma in Childcare and Education (Knowledge only pathway) - the holder cannot count in the ratios.",
EYQ-240,3,Sep-20,Jan-23,T Level Technical Qualification in Education and Childcare (Specialism - Early Years Educator) ,NCFE,603/5829/4,"The course must be assessed within the EYFS in an Early Years setting in England. 
Please note that the name of this qualification changed in February 2023. 
Qualifications achieved under either name are full and relevant provided that the start date for the qualification aligns with the date of the name change.",
EYQ-241,3,Feb-23,,T Level Technical Qualification in Education and Early Years (Specialism - Early Years Educator),NCFE,603/5829/4,"The course must be assessed within the EYFS in an Early Years setting in England. 
Please note that the name of this qualification changed in February 2023. 
Qualifications achieved under either name are full and relevant provided that the start date for the qualification aligns with the date of the name change.",
EYQ-242,3,Sep-14,,"Pearson BTEC Level 3 National Certificate in Children's Play, Learning and Development (Early Years Educator)",Pearson Education Ltd,601/2525/1,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-243,3,Sep-14,,"Pearson BTEC Level 3 National Diploma in Children's Play, Learning and Development (Early Years Educator)",Pearson Education Ltd,601/2527/5,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-244,3,Sep-14,,Pearson Edexcel Level 3 Diploma in Children's Learning and Development (Early Years Educator),Pearson Education Ltd,601/2963/3,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-245,3,Sep-14,,"Pearson BTEC Level 3 National Diploma in Children's Play, Learning and Development (Early Years Educator)",Pearson Education Ltd,601/7571/0,Qualification certificate needs to include (Early Years Educator). If (Early Years Educator) does not appear after the qualification title it does not meet the EYE criteria.,
EYQ-246,3,Sep-14,,"Pearson BTEC Level 3 National Extended Diploma in Children's Play, Learning and Development (Early Years Educator)",Pearson Education Ltd,601/7572/2,Qualification certificate needs to include (Early Years Educator). If (Early Years Educator) does not appear after the qualification title it does not meet the EYE criteria.,
EYQ-247,3,Sep-14,,Diploma for the Children and Young Peoples Workforce (Early Years Educator) (QCF),Skillsfirst,601/4059/8,None,
EYQ-248,3,Sep-14,,Diploma for the Children and Young People's Workforce (Early Years Educator) (QCF),Skillsfirst,601/6793/2,None,
EYQ-249,3,Sep-14,,Skillfirst Level 3 Diploma for the Children and Young People's Workforce (Early Years Educator) (RQF),Skillsfirst,601/8151/5,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-250,3,Sep-14,Aug-24,TQUK Level 3 Diploma for the Children's Workforce (Early Years Educator) (RQF),Training Qualifications UK,601/7670/2,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-251,4,Sep-14,,Level 4 Diploma in Steiner Waldorf Early Childhood Studies (Early Years Educator),Crossfields Institute,603/7741/0,None,
EYQ-252,4,Sep-14,,Certificate of Higher Education (Cert HE) in Montessori Early Childhood Practice,London Metropolitan University,Not required,None,
EYQ-253,4,Sep-14,,NCFE CACHE Level 4 Diploma Steiner Waldorf Early Childhood Studies (Early Years Educator),NCFE,601/5130/4,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling.",
EYQ-254,4,Sep-14,Aug-24,NCFE CACHE Level 4 Diploma in Montessori Pedagogy Birth to Seven (Early Years Educator),NCFE,601/4481/6,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling.",
EYQ-255,4,Sep-14,,Pearson BTEC Level 4 HNC Diploma in Advanced Practice in Early Years Education,Pearson Education Ltd,601/8222/2,None,
EYQ-256,4,Sep-14,,Pearson BTEC Level 4 Higher National Certificate in Early Childhood Education and Care,Pearson Education Ltd,603/3899/4,None,
EYQ-257,5,Sep-14,,Level 5 Diploma in Steiner Waldorf Early Childhood Studies Leadership and Management,Crossfields Institute,603/7796/3,None,
EYQ-258,5,Sep-14,,City & Guilds Level 5 Diploma in Leadership for the Children's & Young People's Workforce - Early Years (Management),City & Guilds,600/8166/1,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-259,5,Sep-14,,FdA Early Years and Education,Anglia Ruskin University (University Centre Peterborough),Not required,None,
EYQ-260,5,Sep-22,,FD Early Childhood Studies,The Open University (University Centre Peterborough),Not required ,None,
EYQ-261,5,Sep-14,,Foundation Degree in Montessori Early Childhood Practice,London Metropolitan University,Not required,None,
EYQ-262,5,Sep-14,Aug-24,NCFE CACHE Level 5 Diploma for the Early Years Senior Practitioner,NCFE,603/3907/X,None,
EYQ-263,5,Sep-14,,Pearson BTEC Level 5 HND Diploma in Advanced Practice in Early Years Education,Pearson Education Ltd,601/8811/X,None,
EYQ-264,5,Sep-14,,BTEC Level 5 Higher National Diploma in Early Childhood Education and Care,Pearson Education Ltd,603/3900/7,All the Pearson BTEC Level 5 Higher National Diploma in Early Childhood Education and Care pathways meet the EYE criteria.,
EYQ-265,5,Sep-14,,FdA Children and Young People (Early Years Educator),Newcastle College Group (NCG),Not required,None,
EYQ-266,5,Sep-14,,Foundation Degree in Early Years,Newman University,Not required,None,
EYQ-267,5,Sep-20,,Foundation Degree in Early Years,Kingston University,Not required,Please note that this qualification is for those who already held Early Years Educator (EYE) status prior to commencing the course.,
EYQ-268,5,Sep-21,,Foundation Degree in Early Years (with Early Years Educator),Kingston University,Not required,Please note that this qualification is for those who did not hold Early Years Educator (EYE) status prior to commencing the course.,
EYQ-269,5,Sep-14,,FdA Early Years Studies (with Early Years Educator),University of Bedfordshire,Not required,None,
EYQ-270,5,Sep-14,,Foundation Degree Arts Children and Young People - Pathway Early Years with Practitioner Status,University of Derby and Collaborative Provision,Not required,None,
EYQ-271,5,Sep-14,,Foundation Degree (Arts) FdA Early Years,University of East Anglia,Not required,None,
EYQ-272,5,Sep-14,,Foundation Degree Early Years,University of Greenwich,Not required,None,
EYQ-273,5,Sep-14,,FdA Early Years Practice,University of Plymouth,Not required,Delivered by PETROC college,
EYQ-274,5,Sep-14,,Learning and Development from Early Years to Adolescence (0-19) FdA,University of Worcester,Not required,None,
EYQ-275,5,Sep-14,,FdA Early Years (0-8yrs) (Professional Practice),University of Worcester,Not required,None,
EYQ-276,5,Sep-14,,Early Years Lead Practitioner (Level 5),Various Awarding Organisations,Not required,[To note: this is an Apprenticeship. It enables the holder to count towards the Level 3 staff:child ratios.],
EYQ-277,5,Sep-14,,Foundation Degree in Early Years Educator,WCG (Warwickshire College Group),Not required,None,
EYQ-278,5,Sep-19,,Foundation Degree in Early Childhood and Education (Integrated Working with Families and Children),University of Hertfordshire (Pen Green),Not required,None,
EYQ-279,5,Sep-23,,FdEd in Professional Practice in Early Years 0-8 (with EYE),University of Hull,Not required,None,
EYQ-280,5,Sep-23,,TQUK Level 5 Diploma for Senior Practitioner in an Early Years Setting,TQUK,610/2932/4,None,
EYQ-281,6,Sep-14,,BA in Education Studies Early Years Educator Specialised Award,Bath Spa University,Not required,None,
EYQ-282,6,Sep-14,,BA (Hons) Childhood Studies,Nottingham Trent University,Not required,None,
EYQ-283,6,Sep-14,,BA (Hons) Joint Honours in Education: Education Studies and Early Years,Nottingham Trent University,Not required,None,
EYQ-284,6,Sep-14,,BA (Hons) Joint Honours in Education: Early Years and Special and Inclusive Education,Nottingham Trent University,Not required,None,
EYQ-285,6,Sep-14,,"BA (Hons) Joint Honours in Education: Early Years, Psychology and Education",Nottingham Trent University,Not required,None,
EYQ-286,6,Sep-14,,"BA (Hons) Joint Honours in Education: Early Years, Business and Education",Nottingham Trent University,Not required,None,
EYQ-287,6,Sep-14,,BA (Hons) Childhood Studies,University of East Anglia,Not required,None,
EYQ-288,6,Sep-21,,FdA Early Years Professional,Worcester University,Not required,None,
EYQ-289,6,Sep-21,,BA (Hons) Education and Early Years,Sheffield Hallam University,Not required,None,
EYQ-290,6,Sep-21,,BA (Hons) Early Years and BA (Hons) Early Years (Top up),University of Greenwich,Not required,None,
EYQ-291,6,Sep-22,,BA (Hons) Early Childhood Education,University of Hertfordshire,Not required,None,
EYQ-292,6,Sep-14,,BA (Hons) Early Childhood Studies,Various Awarding Organisations,Not required,"Training providers should provide clarification on the below criteria:
- The course must be fully consistent with the QAA subject benchmark statement for Early Childhood Studies
- Include an element of assessed practice in an early years setting",
EYQ-293,6,Sep-14,,Degrees and honours degrees at Level 6,Various Awarding Organisations,Not required,"Training providers should provide clarification on the below criteria:
'- The course must be fully consistent with the QAA subject benchmark statement for Early Childhood Studies 
'- Include an element of assessed practice in an early years setting",
EYQ-294,6,Sep-14,,Qualified Teacher Status (QTS),Various Awarding Organisations,Not required,None,
EYQ-295,6,Sep-14,,Early Years Teacher Status (EYTS),Various Awarding Organisations,Not required,None,
EYQ-296,6,Sep-14,,Early Years Professional Status (EYPS),Various Awarding Organisations,Not required,None,
EYQ-297,4,null,Aug-14,"SVQ Children's Care, Learning and Development",Various Awarding Organisations,,None,
EYQ-298,3,null,Aug-14,SVQ Early Years Care and Education,Various Awarding Organisations,,None,
EYQ-299,4,null,Aug-14,"SVQ Early Years, Care and Education",Various Awarding Organisations,,None,
EYQ-300,2,null,Aug-14,SVQ for Teaching Assistants,Various Awarding Organisations,,Considered full and relevant at level 2 where the practitioner achieved it and had their practice assessed in the Early Years Foundation Stage in the maintained sector.,
EYQ-301,3,null,Aug-14,SVQ for Teaching Assistants,Various Awarding Organisations,,None,
EYQ-302,2,null,Aug-14,SVQ in Childcare and Education,Various Awarding Organisations,,None,
EYQ-303,3,null,Aug-14,SVQ in Childcare and Education,Various Awarding Organisations,,None,
EYQ-304,2,null,Aug-14,"SVQ in Childrens Care, Learning and Development",Various Awarding Organisations,,None,
EYQ-305,3,null,Aug-14,"SVQ in Childrens Care, Learning and Development",Various Awarding Organisations,,None,
EYQ-306,2,null,Aug-14,SVQ in Early Years Care and Education,Various Awarding Organisations,,None,
EYQ-307,2,null,Aug-14,SVQ in Playwork,Various Awarding Organisations,,None,
EYQ-308,3,null,Aug-14,SVQ in Playwork,Various Awarding Organisations,,None,
EYQ-309,3,null,Aug-14,SVQ in Supporting Teaching and Learning in Schools,Various Awarding Organisations,,None,
EYQ-310,4,null,Aug-14,SVQ Playwork,Various Awarding Organisations,,None,
EYQ-311,2,null,Aug-14,SVQ Supporting Teaching and Learning in Schools,Various Awarding Organisations,,Considered full and relevant at level 2 where the practitioner achieved it and had their practice assessed in the Early Years Foundation Stage in the maintained sector.,
EYQ-510,2,Sep-23,,Highfield Level 2 Diploma for Early Years Practitioners (England) (RQF),Highfield Qualifications ,610/3357/1,None.,
EYQ-511,3,Sep-24,,TQUK Level 3 Diploma for Early Years Care and Education,Training Qualification UK,610/3598/1,This qualification will replace the TQUK EYE Level 3 qualification 601/7670/2 (listed on the F&R Quals list Post Sept 2014),
EYQ-512,3,Sep-24,,NCFE CACHE Level 3 Diploma in Early Years Montessori Pedagogy from Birth to Seven (Early Years Educator),NCFE,610/4159/2,Thi qualification supersedes qualification NCFE CACHE Level 3 Diploma in Montessori Pedagogy - Birth to Seven (Early Years Educator) 601/4573/0 (listed on the F&R Quals list Post Sept 2014),
EYQ-513,3,Sep-25,,NCFE CACHE Level 3 Technical Occupational Entry in Montessori Pedagogy - Birth to Seven (Early Years Educator) (Diploma),NCFE,610/3983/4,This qualification supersedes qualification NCFE CACHE Level 3 Diploma in Montessori Pedagogy - Birth to Seven (Early Years Educator) 601/4573/0 (listed on the F&R Quals list Post Sept 2014),
EYQ-514,3,Sep-24,,NCFE CACHE Level 3 Diploma for Working in the Early Years Sector (Early Years Educator),NCFE,610/4164/6,This qualification supersedes NCFE CACHE Level 3 Diploma for the Early Years Workforce (Early Years Educator) 601/2629/2 (listed on the F&R Quals list Post Sept 2014),
EYQ-515,3,Sep-25,,NCFE CACHE Level 3 Technical Occupational Entry for the Early Years Workforce (Early Years Educator) (Diploma),NCFE,610/3984/6,This qualification supersedes NCFE CACHE Level 3 Diploma for the Early Years Workforce (Early Years Educator) 601/2629/2 (listed on the F&R Quals list Post Sept 2014),
EYQ-516,3,Apr-24,,Early Years Educator (EYE) Level 3 Apprenticeship,Various Awarding Organisations,Not required,"This is version 1.3 of this Apprenticeship.
To note that this Apprenticeship does not contain a mandatory Early Years Educator qualification; instead, completion of the Apprenticeship itself will enable practitioners to be counted as holding an approved early years qualification and to work within the Level 3 staff:child ratios in an early years setting.",
EYQ-517,3,Sep-25,,Pearson BTEC Level 3 Technical Occupational Entry for Early Years Educator (Diploma),Pearson Education Ltd,610/3956/1,"This is a new qualification developed under the Level 3 reforms criteria, this qualification is fully mapped to the Early Years Educator Apprenticeship Standard V1.3 for new starts from the 1st April 2024 ",
EYQ-518,4,Sep-25,,Higher National Certificate in Early Years Professional Leadership for England,Pearson Education Ltd,610/2675/X,This qualification is the mandatory level 4 component of this level 5 qualification: Higher National Diploma in Early Years Professional Leadership for England.  Learners cannot complete the HND without completing the HNC.,
EYQ-519,4,Sep-24,,NCFE CACHE Level 4 Diploma in Early Years Montessori Pedagogy from Birth to Seven (Early Years Educator),NCFE,610/4160/9,This qualification supersedes qualification NCFE CACHE Level 4 Diploma in Montessori Pedagogy - Birth to Seven (Early Years Educator) 601/4481/6 (listed on the F&R Quals list Post Sept 2014) which will be withdrawn upon the launch of the new updated version. ,
EYQ-520,4,Sep-24,,Higher National Certificate in Early Childhood Education and Care,Pearson Education Ltd,603/3899/4,"This qualification is the mandatory level 4 component of these level 5 qualifications:

Higher National Diploma in Early Childhood Education and Care

Higher National Diploma in Early Childhood Education and Care (Education)

Higher National Diploma in Early Childhood Education and Care (Leadership and Management)

Higher National Diploma in Early Childhood Education and Care (Social and Community Care Practice) ",
EYQ-521,5,Sep-25,,Higher National Diploma in Early Years Professional Leadership for England,Pearson Education Ltd,610/2676/1,"This qualification comprises the HNC Early Years Professional Leadership for England, and additional level 5 units to create the HND Early Years Professional Leadership for England.   Learners cannot complete the HND without completing the HNC.

The Higher National Diploma was approved by the Institute for Apprenticeships and Technical Education (IfATE) in January 2024 as a Higher Technical Qualification (HTQ) meeting the occupational level 5 Early Years Lead Practitioner occupational standard. ",
EYQ-522,5,Sep-24,,Higher National Diploma in Early Childhood Education and Care,Pearson Education Ltd,603/3900/7,"This qualification comprises the HNC Early Childhood Education and Care, and additional level 5 units to create the HND Early Childhood Education and Care.  Learners cannot complete the HND without completing the HNC.",
EYQ-523,5,Sep-24,,Higher National Diploma in Early Childhood Education and Care (Education),Pearson Education Ltd,603/3900/7,"This qualification comprises the HNC Early Childhood Education and Care, and additional level 5 units to create the HND Early Childhood Education and Care (Education). Learners cannot complete the HND without completing the HNC. ",
EYQ-524,5,Sep-24,,Higher National Diploma in Early Childhood Education and Care (Leadership and Management),Pearson Education Ltd,603/3900/7,"This qualification comprises the HNC Early Childhood Education and Care, and additional level 5 units to create the HND Early Childhood Education and Care (Leadership and Management). Learners cannot complete the HND without completing the HNC. ",
EYQ-525,5,Sep-24,,Higher National Diploma in Early Childhood Education and Care (Social and Community Care Practice),Pearson Education Ltd,603/3900/7,"This qualification comprises the HNC Early Childhood Education and Care, and additional level 5 units to create the HND Early Childhood Education and Care (Social and Community Care Practice).  Learners cannot complete the HND without completing the HNC.  ",
EYQ-526,5,Sep-24,,NCFE CACHE Level 5 Diploma for the Early Years Senior Practitioner (HTQ),NCFE,610/4163/4,"This qualification will replace the predecessor version NCFE CACHE Level 5 Diploma for the Early Years Senior Practitioner 603/3907/X, listed on the post-Sept 2014 tab, which will be withdrawn on 31st August 2024 and this new version launched on 1 September 2024. ",